No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
2,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement of Changes in Treasury Shares
No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
2,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement of Changes in Treasury Shares
3,29 Jan 2021 29 Jan 2021,MITRAJAYA HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
2,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement of Changes in Treasury Shares
3,29 Jan 2021 29 Jan 2021,MITRAJAYA HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
4,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Immediate Announcement of Changes in Treasury Shares
No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
2,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement of Changes in Treasury Shares
3,29 Jan 2021 29 Jan 2021,MITRAJAYA HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
4,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Immediate Announcement of Changes in Treasury Shares
5,29 Jan 2021 29 Jan 2021,RANHILL UTILITIES BERHAD,Immediate Announcement on Shares Buy Back
No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
