Linden Advisors LP,Recipharm AB (publ),SE0005757267,"1,06",2021-01-29
Viking Global Investors LP,H & M Hennes & Mauritz AB,SE0000106270,"0,56",2021-01-29
Voleon Capital Management LP,Azelio AB,SE0011973940,"0,5",2021-01-29
GUEVOURA FUND,Active Biotech AB (publ),SE0001137985,"0,96",2021-01-28
GREENVALE CAPITAL LLP,Elekta AB (publ),SE0000163628,"0,76",2021-01-28
Capital Fund Management SA,Scandic Hotels Group AB,SE0007640156,1,2021-01-28
Marshall Wace LLP,Securitas AB,SE0000163594,"1,19",2021-01-28
GSA Capital Partners LLP,Kancera AB,SE0003622265,"0,5",2021-01-28
Naya Capital Management UK Limited,JM AB,SE0000806994,"1,16",2021-01-28
Sandbar Asset Management LLP,Getinge AB,SE0000202624,"1,03",2021-01-28
Sandbar Asset Management LLP,BillerudKorsnäs Aktiebolag (publ),SE0000862997,"0,55",2021-01-28
Armistice Capital LLC,Orexo AB,SE0000736415,"2,05",2021-01-28
CapeView Capital LLP,SAAB Aktiebolag,SE0000112385,"0,75",2021-01-28
Mangrove Partners,Mycronic AB (publ),SE0000375115,"0,76",2021-01-28
Parian Global Management LP,EOLUS VIND AB,SE0007075056,"0,52",2021-01-27
Citadel Europe LLP,Alfa Laval AB,SE0000695876,"0,62",2021-01-27
Marshall Wace LLP,Telia Company AB,SE0000667925,"0,67",2021-01-27
Marshall Wace LLP,Aktiebolaget SKF,SE0000108227,"0,69",2021-01-27
AQR Capital Management LLC,Svenska Cellulosa Aktiebolaget SCA,SE0000112724,"0,59",2021-01-27
ALCUR FONDER AB,Pandox Aktiebolag,SE0007100359,"0,55",2021-01-27
Marshall Wace LLP,Modern Times Group MTG AB,SE0000412371,"0,79",2021-01-27
Marshall Wace LLP,MIPS AB,SE0009216278,"0,61",2021-01-27
AKO Capital LLP,Elekta AB (publ),SE0000163628,1,2021-01-27
Voleon Capital Management LP,Cell Impact AB (publ),SE0005003217,"1,31",2021-01-27
WORLDQUANT LLC,Fingerprint Cards AB,SE0008374250,"0,63",2021-01-27
Naya Capital Management UK Limited,Intrum AB,SE0000936478,"1,68",2021-01-26
UBS Global Asset Management (UK) Ltd,Attendo AB (publ),SE0007666110,"0,68",2021-01-26
Viking Global Investors LP,Telia Company AB,SE0000667925,"0,7",2021-01-26
PDT Partners LLC,Scandic Hotels Group AB,SE0007640156,"0,79",2021-01-26
Luxor Capital Group LP,Electrolux Professional AB (publ),SE0013747870,"0,51",2021-01-22
ALCUR FONDER AB,Scandic Hotels Group AB,SE0007640156,"1,31",2021-01-21
Marshall Wace LLP,G5 Entertainment AB (publ),SE0001824004,"0,84",2021-01-21
Tower House Partners LLP,Loomis AB,SE0014504817,"0,55",2021-01-21
Marshall Wace LLP,EOLUS VIND AB,SE0007075056,"0,5",2021-01-21
WORLDQUANT LLC,Scandic Hotels Group AB,SE0007640156,"1,03",2021-01-21
Susquehanna International Holding LLC,Alligator Bioscience AB,SE0000767188,"0,55",2021-01-21
Marble Bar Asset Management LLP,Enad Global 7 AB (publ),SE0010520106,"0,63",2021-01-20
PDT Partners LLC,Fingerprint Cards AB,SE0008374250,"0,78",2021-01-20
Marshall Wace LLP,Husqvarna Aktiebolag,SE0001662230,"0,51",2021-01-19
Squarepoint Ops LLC,Nelly Group AB (publ),SE0015245535,"0,7",2021-01-18
Marshall Wace LLP,Peab AB,SE0000106205,"0,99",2021-01-15
Marshall Wace LLP,BillerudKorsnäs Aktiebolag (publ),SE0000862997,"0,9",2021-01-15
Marshall Wace LLP,Elekta AB (publ),SE0000163628,"0,7",2021-01-14
Marshall Wace Asia Ltd,Securitas AB,SE0000163594,"0,57",2021-01-14
BlackRock Investment Management (UK) Limited,Aktiebolaget Electrolux,SE0000103814,"1,62",2021-01-12
Wellington Management Company LLP,Elekta AB (publ),SE0000163628,"0,69",2021-01-11
Rye Bay Capital LLP,KINDRED GROUP PLC,SE0007871645,"0,59",2021-01-11
Cheyne Capital Management (UK) LLP,Clas Ohlson Aktiebolag,SE0000584948,"0,98",2021-01-07
BNP Paribas,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"1,05",2021-01-06
Elementa Management AB,Readly International AB (publ),SE0014855292,"0,51",2020-12-30
Canada Pension Plan Investment Board,Stillfront Group AB (publ),SE0015346135,"0,97",2020-12-23
B&G Master Fund Plc,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,99",2020-12-22
Syquant Capital,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,57",2020-12-21
Arrowstreet Capital Limited Partnership,Fastighets AB Balder,SE0000455057,"0,8",2020-12-18
JPMorgan Asset Management (UK) Ltd,Tobii AB,SE0002591420,"1,19",2020-12-17
AKO Capital LLP,SAAB Aktiebolag,SE0000112385,"0,51",2020-12-16
Pictet Asset Management SA,ICA Gruppen Aktiebolag,SE0000652216,"0,6",2020-12-15
Citadel Europe LLP,Recipharm AB (publ),SE0005757267,"0,94",2020-12-14
Tiger Global Management LLC,H & M Hennes & Mauritz AB,SE0000106270,"0,57",2020-12-11
ALCUR FONDER AB,Clas Ohlson Aktiebolag,SE0000584948,"0,71",2020-12-09
Marshall Wace LLP,JM AB,SE0000806994,"1,09",2020-12-08
Lansdowne Partners (UK) LLP,Hoist Finance AB (publ),SE0006887063,"3,77",2020-11-30
Lansdowne Partners (UK) LLP,Intrum AB,SE0000936478,"0,68",2020-11-27
Sylebra Capital Limited,Mycronic AB (publ),SE0000375115,"1,2",2020-11-26
Otus Capital Management Limited,G5 Entertainment AB (publ),SE0001824004,"1,05",2020-11-24
Sculptor Capital Management Europe Limited,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,75",2020-11-20
Point72 Asset Management LP,Oncopeptides AB,SE0009414576,"0,72",2020-11-20
Marshall Wace LLP,Skanska AB,SE0000113250,"0,59",2020-11-19
Pelham Capital Ltd,ICA Gruppen Aktiebolag,SE0000652216,"1,25",2020-11-10
BlackRock Investment Management (UK) Limited,Elekta AB (publ),SE0000163628,"0,63",2020-10-29
Elementa Management AB,MIPS AB,SE0009216278,"0,5",2020-10-29
Pelham Capital Ltd,Intrum AB,SE0000936478,"2,72",2020-10-29
Point72 Asset Management LP,SAAB Aktiebolag,SE0000112385,"0,73",2020-10-22
Arrowstreet Capital Limited Partnership,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"1,14",2020-10-20
Parvus Asset Management Europe Limited,SECTRA Aktiebolag,SE0014609061,"0,58",2020-10-14
Arrowstreet Capital Limited Partnership,Dometic Group AB (publ),SE0007691613,"0,69",2020-10-06
Sylebra Capital Limited,Fingerprint Cards AB,SE0008374250,"1,9",2020-10-02
Citadel Europe LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,86",2020-09-16
Marshall Wace Asia Ltd,JM AB,SE0000806994,"0,71",2020-09-01
Connor Clark & Lunn Investment Management Ltd.,Mekonomen Aktiebolag,SE0002110064,"0,69",2020-08-31
Cerza Plegar AB,ALM EQUITY AB,SE0004109627,"1,73",2020-07-10
JPMorgan Asset Management (UK) Ltd,RaySearch Laboratories AB (publ),SE0000135485,"1,65",2020-06-30
"Public Equity Partners Management, L.P.",Elekta AB (publ),SE0000163628,"0,84",2020-05-18
Marshall Wace LLP,Millicom International Cellular SA SDR,SE0001174970,"0,6",2020-04-15
Marshall Wace Asia Ltd,Peab AB,SE0000106205,"0,7",2020-03-09
COWEN INVESTMENT MANAGEMENT LLC,INTERNATIONAL PETROLEUM CORPORATION,CA46016U1084,"0,66",2018-12-12
Pelham Long Short Master Fund Ltd,Axfood AB,SE0006993770,"1,84",2017-03-21
