Linden Advisors LP,Recipharm AB (publ),SE0005757267,"1,06",1/29/2021
Viking Global Investors LP,H & M Hennes & Mauritz AB,SE0000106270,"0,56",1/29/2021
Voleon Capital Management LP,Azelio AB,SE0011973940,"0,5",1/29/2021
GUEVOURA FUND,Active Biotech AB (publ),SE0001137985,"0,96",1/28/2021
GREENVALE CAPITAL LLP,Elekta AB (publ),SE0000163628,"0,76",1/28/2021
Capital Fund Management SA,Scandic Hotels Group AB,SE0007640156,1,1/28/2021
Marshall Wace LLP,Securitas AB,SE0000163594,"1,19",1/28/2021
GSA Capital Partners LLP,Kancera AB,SE0003622265,"0,5",1/28/2021
Naya Capital Management UK Limited,JM AB,SE0000806994,"1,16",1/28/2021
Sandbar Asset Management LLP,Getinge AB,SE0000202624,"1,03",1/28/2021
Sandbar Asset Management LLP,BillerudKorsnäs Aktiebolag (publ),SE0000862997,"0,55",1/28/2021
Armistice Capital LLC,Orexo AB,SE0000736415,"2,05",1/28/2021
CapeView Capital LLP,SAAB Aktiebolag,SE0000112385,"0,75",1/28/2021
Mangrove Partners,Mycronic AB (publ),SE0000375115,"0,76",1/28/2021
Parian Global Management LP,EOLUS VIND AB,SE0007075056,"0,52",1/27/2021
Citadel Europe LLP,Alfa Laval AB,SE0000695876,"0,62",1/27/2021
Marshall Wace LLP,Telia Company AB,SE0000667925,"0,67",1/27/2021
Marshall Wace LLP,Aktiebolaget SKF,SE0000108227,"0,69",1/27/2021
AQR Capital Management LLC,Svenska Cellulosa Aktiebolaget SCA,SE0000112724,"0,59",1/27/2021
ALCUR FONDER AB,Pandox Aktiebolag,SE0007100359,"0,55",1/27/2021
Marshall Wace LLP,Modern Times Group MTG AB,SE0000412371,"0,79",1/27/2021
Marshall Wace LLP,MIPS AB,SE0009216278,"0,61",1/27/2021
AKO Capital LLP,Elekta AB (publ),SE0000163628,1,1/27/2021
Voleon Capital Management LP,Cell Impact AB (publ),SE0005003217,"1,31",1/27/2021
WORLDQUANT LLC,Fingerprint Cards AB,SE0008374250,"0,63",1/27/2021
Naya Capital Management UK Limited,Intrum AB,SE0000936478,"1,68",1/26/2021
UBS Global Asset Management (UK) Ltd,Attendo AB (publ),SE0007666110,"0,68",1/26/2021
Viking Global Investors LP,Telia Company AB,SE0000667925,"0,7",1/26/2021
PDT Partners LLC,Scandic Hotels Group AB,SE0007640156,"0,79",1/26/2021
Luxor Capital Group LP,Electrolux Professional AB (publ),SE0013747870,"0,51",1/22/2021
ALCUR FONDER AB,Scandic Hotels Group AB,SE0007640156,"1,31",1/21/2021
Marshall Wace LLP,G5 Entertainment AB (publ),SE0001824004,"0,84",1/21/2021
Tower House Partners LLP,Loomis AB,SE0014504817,"0,55",1/21/2021
Marshall Wace LLP,EOLUS VIND AB,SE0007075056,"0,5",1/21/2021
WORLDQUANT LLC,Scandic Hotels Group AB,SE0007640156,"1,03",1/21/2021
Susquehanna International Holding LLC,Alligator Bioscience AB,SE0000767188,"0,55",1/21/2021
Marble Bar Asset Management LLP,Enad Global 7 AB (publ),SE0010520106,"0,63",1/20/2021
PDT Partners LLC,Fingerprint Cards AB,SE0008374250,"0,78",1/20/2021
Marshall Wace LLP,Husqvarna Aktiebolag,SE0001662230,"0,51",1/19/2021
Squarepoint Ops LLC,Nelly Group AB (publ),SE0015245535,"0,7",1/18/2021
Marshall Wace LLP,Peab AB,SE0000106205,"0,99",1/15/2021
Marshall Wace LLP,BillerudKorsnäs Aktiebolag (publ),SE0000862997,"0,9",1/15/2021
Marshall Wace LLP,Elekta AB (publ),SE0000163628,"0,7",1/14/2021
Marshall Wace Asia Ltd,Securitas AB,SE0000163594,"0,57",1/14/2021
BlackRock Investment Management (UK) Limited,Aktiebolaget Electrolux,SE0000103814,"1,62",1/12/2021
Wellington Management Company LLP,Elekta AB (publ),SE0000163628,"0,69",1/11/2021
Rye Bay Capital LLP,KINDRED GROUP PLC,SE0007871645,"0,59",1/11/2021
Cheyne Capital Management (UK) LLP,Clas Ohlson Aktiebolag,SE0000584948,"0,98",1/7/2021
BNP Paribas,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"1,05",1/6/2021
